Geneid,Gene Type,Product Description,BD,BD.1,BD.2,BP,BP.1,BP.2,DA,DA.1,DA.2,DD,DD.1,DD.2,DP,DP.1,DP.2
AGAP001199,protein coding gene,serine protease,18104,12436,11997,12423,15281,21114,1259,2100,330,8349,5034,4063,26564,15218,39205
AGAP001200,protein coding gene,glycogen debranching enzyme,6736,6428,6028,5554,5448,5073,3738,13446,2268,5590,7413,8490,3200,2439,3113
AGAP001201,protein coding gene,defective proboscis extension response,722,705,599,610,549,566,530,678,497,462,506,424,418,245,345
AGAP001202,protein coding gene,organic cation transporter,116,94,62,97,142,109,19,58,0,55,66,62,77,59,129
AGAP001203,protein coding gene,unspecified product,34,25,9,12,11,28,7,16,4,17,34,11,6,12,10
AGAP001205,protein coding gene,chitin synthase,3298,2608,2267,1507,1459,1836,1216,1896,884,1613,1500,1843,1380,688,1232
AGAP001206,protein coding gene,unspecified product,56,43,45,45,30,56,9,45,9,26,28,37,16,14,17
AGAP001207,protein coding gene,COMM domain-containing protein 4,168,181,143,131,114,147,144,183,98,189,152,138,91,61,107
AGAP001208,protein coding gene,unspecified product,932,794,688,774,750,943,554,1125,355,713,897,896,593,436,549
AGAP001209,protein coding gene,ubiquitin carboxyl-terminal hydrolase 6/32,4660,3603,3693,3968,3925,3730,2387,3961,1319,3859,5207,3496,3106,2252,3197
AGAP001211,protein coding gene,Ras-related protein Rab-8A,2105,1679,1557,2034,1892,1992,1705,1977,991,1969,2097,1624,1137,980,1328
AGAP001212,protein coding gene,peptidoglycan recognition protein (long),1440,1693,1366,1081,1284,1463,632,1289,507,3998,4255,1123,1081,1086,1133
AGAP001213,protein coding gene,unspecified product,1070,854,775,615,503,950,539,537,384,814,672,654,838,336,563
AGAP001214,protein coding gene,unspecified product,291,261,229,284,260,220,213,264,196,249,272,244,141,112,157
AGAP001215,protein coding gene,tetratricopeptide repeat protein 39C,367,539,413,350,367,423,208,401,142,444,366,309,250,162,297
AGAP001217,protein coding gene,soluble calcium-activated nucleotidase 1,549,435,399,328,320,382,144,388,80,431,430,353,237,193,246
AGAP001218,protein coding gene,tubulin alpha-4A chain,124,245,124,167,268,108,40,387,51,145,116,100,140,72,130
AGAP001219,protein coding gene,tubulin alpha-4A chain,115,249,154,225,187,246,215,243,95,80,301,155,169,124,136
AGAP001220,protein coding gene,NAD-dependent deacetylase sirtuin 7,367,348,270,365,300,362,309,458,146,388,421,318,220,184,267
AGAP001222,protein coding gene,unspecified product,270,281,261,220,167,229,91,230,22,231,184,182,124,104,157
AGAP001223,protein coding gene,ATP-dependent RNA helicase DDX55/SPB4,479,358,223,355,302,396,271,337,215,420,313,293,273,234,277
AGAP001224,protein coding gene,cleavage and polyadenylation specificity factor subunit 3,235,169,117,140,126,155,90,225,67,207,143,177,127,91,144
AGAP001225,protein coding gene,unspecified product,627,521,436,517,487,468,347,567,129,582,591,545,300,253,342
AGAP001226,protein coding gene,unspecified product,35,38,34,50,44,31,30,37,15,45,40,38,37,24,34
AGAP001227,protein coding gene,gamma-tubulin complex component 5,297,232,178,238,186,220,180,232,145,270,278,181,142,132,146
AGAP001228,protein coding gene,DNA-directed RNA polymerase II subunit RPB4,181,193,124,204,155,154,185,226,72,208,234,169,123,109,114
AGAP001229,protein coding gene,dynein light chain Tctex-type 1,1195,975,731,1074,910,958,1282,1384,1356,1302,1214,946,633,520,663
AGAP001230,protein coding gene,unspecified product,15,26,25,20,20,14,14,39,5,12,25,23,22,15,12
AGAP001231,protein coding gene,unspecified product,115,113,80,89,75,94,96,126,66,113,100,94,53,42,65
AGAP001232,protein coding gene,"alpha-1,3/alpha-1, 6-mannosyltransferase",356,367,273,280,302,275,145,359,68,461,405,316,180,125,211
AGAP001233,protein coding gene,vacuolar protein sorting 16B,263,273,235,245,313,235,233,273,153,364,330,314,152,151,188
AGAP001234,protein coding gene,Activating signal cointegrator 1 complex subunit 3,1057,948,838,633,664,740,564,913,260,1037,1004,877,486,339,489
AGAP001235,protein coding gene,phosphatidylserine decarboxylase,716,680,512,942,980,777,344,572,130,570,736,507,542,441,622
AGAP001236,protein coding gene,Sugar transporter ERD6-like 6,499,414,351,221,257,508,176,252,64,427,591,235,208,182,212
AGAP001237,protein coding gene,Mediator of RNA polymerase II transcription subunit 29 [Source:UniProtKB/Swiss-Prot;Acc:Q7PUD7],209,182,169,160,196,167,79,194,51,175,167,160,128,89,131
AGAP001238,protein coding gene,Ras-specific guanine nucleotide-releasing factor 2,437,343,322,295,286,366,165,478,114,220,233,220,210,147,184
AGAP001239,protein coding gene,defective proboscis extension response,254,201,205,187,229,178,157,222,109,154,183,154,141,91,144
AGAP001240,protein coding gene,unspecified product,5785,3138,3534,2891,4103,4042,440,2811,309,2534,1848,2482,2466,2108,3981
AGAP001241,protein coding gene,eupolytin,4,4,2,4,4,4,3,6,1,4,4,16,5,1,3
AGAP001242,protein coding gene,defective proboscis extension response,328,260,254,259,219,248,119,274,84,196,238,214,181,111,147
AGAP001243,protein coding gene,unspecified product,285,238,284,292,229,262,303,531,308,347,272,230,128,101,169
AGAP001244,protein coding gene,eupolytin,3,1,0,0,0,3,0,4,0,3,0,0,0,0,0
AGAP001245,protein coding gene,eupolytin,0,0,0,0,8,1,0,1,0,0,0,1,1,0,0
AGAP001246,protein coding gene,eupolytin,0,5,1,0,0,1,0,0,1,0,0,0,2,0,2
AGAP001247,protein coding gene,eupolytin,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
AGAP001248,protein coding gene,eupolytin,1,2,0,4,2,2,2,2,0,1,4,2,1,1,0
AGAP001249,protein coding gene,eupolytin,0,0,0,2,2,0,0,0,0,0,0,0,1,0,0
AGAP001250,protein coding gene,eupolytin,3,2,1,1,2,4,0,0,2,1,0,2,0,1,2
AGAP001251,protein coding gene,eupolytin,45,32,34,28,16,46,24,47,12,40,27,40,47,26,21
AGAP001252,protein coding gene,eupolytin,10,8,11,6,10,11,6,15,1,6,4,5,7,1,3
AGAP001253,protein coding gene,unspecified product,587,428,427,414,502,448,265,558,271,460,519,511,284,221,322
AGAP001255,protein coding gene,unspecified product,1536,1283,1068,1015,955,1035,627,1419,257,1094,1503,1103,772,534,765
AGAP001256,protein coding gene,3'-phosphoadenosine 5'-phosphosulfate synthase,1412,1245,1338,812,856,871,481,1250,161,1230,2200,1045,708,460,680
AGAP001257,protein coding gene,UTP--glucose-1-phosphate uridylyltransferase,15876,11306,12321,12568,14062,11369,4316,12120,2796,10902,7661,7373,11408,9639,11199
AGAP001258,protein coding gene,unspecified product,64,52,35,73,47,36,87,66,40,63,82,47,34,30,34
AGAP001259,protein coding gene,SH2 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GC16],164,120,136,160,155,138,176,183,52,225,347,162,122,73,159
AGAP001261,protein coding gene,L-caldesmon,644,529,387,714,461,573,804,747,720,790,651,549,452,343,371
AGAP001264,protein coding gene,Plasma glutamate carboxypeptidase,536,439,362,447,347,391,177,518,87,479,420,443,359,326,385
AGAP001265,protein coding gene,"solute carrier family 7 (cationic amino acid transporter), member 14",310,294,290,250,206,322,118,300,116,215,201,199,155,112,112
AGAP001267,protein coding gene,"Adaptor-related protein complex 2, beta 1 subunit",2695,2310,2062,1834,1767,1908,1157,2103,622,2330,2849,1891,1172,972,1356
AGAP001268,protein coding gene,unspecified product,234,221,164,231,218,220,154,250,103,276,234,185,107,85,134
AGAP001269,protein coding gene,unspecified product,461,377,292,386,297,343,296,433,221,408,488,336,249,186,279
AGAP001270,protein coding gene,unspecified product,107,98,64,81,52,59,22,51,16,96,95,59,38,30,51
AGAP001271,protein coding gene,unspecified product,2157,1658,1693,1607,1742,1655,1174,2126,758,2025,2036,1644,1454,989,1245
AGAP001272,protein coding gene,unspecified product,844,726,799,583,505,566,344,690,115,878,1045,639,726,504,767
AGAP001273,protein coding gene,karyopherin (importin) alpha 4,6497,6053,5116,6003,6074,5537,3925,6296,2200,6995,6426,5451,3866,3202,4714
AGAP001274,protein coding gene,40S ribosomal protein S15,23276,21302,18693,15995,18052,14613,8033,20885,3815,24213,22601,21480,9995,10153,15258
AGAP001275,protein coding gene,unspecified product,3,10,4,7,8,6,2,7,2,6,11,7,3,1,4
AGAP001276,protein coding gene,asparaginyl-tRNA synthetase,203,181,137,145,155,127,57,152,38,166,178,132,80,81,131
AGAP001277,protein coding gene,unspecified product,290,261,233,229,196,220,110,246,52,269,302,218,158,114,164
AGAP001278,protein coding gene,Cysteine-rich hydrophobic domain 2,1279,1060,909,1010,977,894,843,1267,681,1085,1305,931,692,507,726
AGAP001279,protein coding gene,"protein phosphatase 3, catalytic subunit",3644,2489,2228,2525,2341,2622,1951,3376,1581,2892,2624,2409,2071,1514,2362
AGAP001281,protein coding gene,potassium inwardly-rectifying channel subfamily J,1929,1510,1421,1442,1668,1915,904,2076,408,1151,1639,1457,1207,753,995
AGAP001283,protein coding gene,potassium inwardly-rectifying channel subfamily J,912,721,675,584,530,651,396,936,230,563,955,589,346,276,308
AGAP001284,protein coding gene,potassium inwardly-rectifying channel subfamily J,83,83,52,71,94,86,21,61,23,41,79,58,71,55,93
AGAP001285,protein coding gene,vacuolar protein sorting 4,623,573,487,481,472,597,466,708,339,656,627,521,267,241,317
AGAP001286,protein coding gene,integrator complex subunit 4,284,297,233,194,207,228,122,299,60,335,295,276,174,117,184
AGAP001287,protein coding gene,unspecified product,5411,4451,4263,3931,3665,4009,2784,4859,1773,4054,4917,3892,2869,2175,2912
AGAP001290,protein coding gene,Replication factor C subunit 1 [Source:UniProtKB/TrEMBL;Acc:Q7PUQ3],590,541,427,532,497,453,522,699,373,662,531,574,444,343,419
AGAP001291,protein coding gene,"zinc finger protein ZIC, invertebrate",32,18,26,22,11,27,6,14,10,14,26,18,15,12,19
AGAP001292,protein coding gene,unspecified product,501,380,297,406,359,352,321,485,186,494,500,437,264,239,340
AGAP001293,protein coding gene,unspecified product,12,4,13,18,3,11,1,3,0,12,4,3,11,7,6
AGAP001294,protein coding gene,unspecified product,447,466,487,525,568,493,241,498,140,434,471,391,370,328,386
AGAP001296,protein coding gene,E3 ubiquitin-protein ligase TRIP12,8348,6244,6098,5173,5195,5558,2721,6173,1979,5700,5001,5346,4076,3115,4352
AGAP001297,protein coding gene,solute carrier family 25,356,396,312,266,322,205,158,367,82,460,375,380,144,164,230
AGAP001298,protein coding gene,unspecified product,1456,1232,1034,985,842,1005,930,1586,726,1207,1149,922,948,593,695
AGAP001299,protein coding gene,mannose-1-phosphate guanylyltransferase,463,424,332,267,276,330,213,462,163,643,773,370,186,149,213
AGAP001300,protein coding gene,unspecified product,319,283,202,227,208,223,120,279,75,329,291,233,121,120,168
AGAP001301,protein coding gene,Bardet-Biedl syndrome 5 protein,3,5,1,7,2,5,3,2,1,7,0,5,2,1,3
AGAP001302,protein coding gene,RNA polymerase II-associated factor 1,507,485,315,421,402,302,300,486,148,369,408,421,313,200,329
AGAP001303,protein coding gene,chemosensory protein 6,628,446,397,242,224,380,217,361,79,340,342,234,110,236,224
AGAP001306,protein coding gene,"actin related protein 2/3 complex, subunit 4",513,452,426,402,418,476,314,469,171,526,571,460,261,190,302
AGAP001307,protein coding gene,ubiquitin fusion degradation protein 1,533,492,424,442,421,409,321,527,183,459,521,398,243,157,325
AGAP001308,protein coding gene,coiled-coil domain-containing protein 64,588,645,532,761,775,753,315,524,192,598,760,423,464,374,333
AGAP001309,protein coding gene,unspecified product,5,8,14,19,17,18,11,21,3,15,10,9,13,12,6
AGAP001310,protein coding gene,Protein-S-isoprenylcysteine O-methyltransferase [Source:UniProtKB/TrEMBL;Acc:Q7PXA7],354,264,217,274,216,232,215,293,134,325,288,183,134,126,139
AGAP001311,protein coding gene,"39S ribosomal protein L20, mitochondrial",287,375,201,301,323,247,354,341,64,239,233,235,190,156,194
AGAP001312,protein coding gene,succinyl-CoA synthetase alpha subunit,17575,14512,16913,16567,13361,16300,8554,16914,7649,12961,12660,11735,9628,7108,9855
AGAP001313,protein coding gene,Muscular protein 20,3315,3120,2610,3479,2660,3004,3573,5014,4578,3776,5085,3468,1538,1122,1718
AGAP001314,protein coding gene,unspecified product,158,159,105,160,144,101,89,168,64,176,122,142,71,60,76
AGAP001315,protein coding gene,unspecified product,8765,7425,6628,8350,7248,8312,6511,10680,4375,7549,9508,7456,6341,4702,5619
AGAP001316,protein coding gene,unspecified product,501,466,435,537,483,567,256,458,177,419,417,379,414,371,439
AGAP001318,protein coding gene,acetyl-CoA C-acetyltransferase,1012,834,645,347,468,452,216,612,148,754,695,581,232,159,248
AGAP001319,protein coding gene,5'-nucleotidase domain-containing protein 1,1362,1216,1115,918,836,1150,332,1076,126,1145,1102,886,765,557,830
AGAP001320,protein coding gene,golgi apparatus protein 1,1754,1294,1148,1056,1007,1154,798,1280,464,1340,1289,1049,792,618,915
AGAP001321,protein coding gene,unspecified product,551,441,372,300,286,419,208,380,106,373,349,303,244,154,316
AGAP001322,protein coding gene,unspecified product,596,474,417,396,400,401,245,482,129,513,482,420,248,208,337
AGAP001323,protein coding gene,unspecified product,3931,4306,4428,3254,2651,4126,1627,3875,1562,3300,2671,2310,1908,1319,1993
AGAP001324,protein coding gene,Erythroid differentiation-related factor 1,534,383,353,312,277,338,252,604,94,748,612,499,257,236,295
AGAP001325,protein coding gene,"peroxiredoxin 5, atypical 2-Cys peroxiredoxin",8577,6639,7263,6951,5979,6922,3503,6727,4036,6092,5691,5450,4619,3428,4661
AGAP001326,protein coding gene,mitotic spindle assembly checkpoint protein MAD2B,33,39,67,24,22,35,9,32,13,34,28,23,17,12,12
AGAP001328,protein coding gene,tripartite motif-containing protein 33,1445,1100,995,922,964,1066,698,1319,275,1169,1541,924,725,535,725
AGAP001329,protein coding gene,cuticular protein unclassified,105,77,73,41,57,63,13,56,4,75,69,80,38,23,37
AGAP001330,protein coding gene,furin,3598,3186,3392,2549,2353,2635,1300,3200,904,2758,2646,2428,1578,1238,1751
AGAP001331,protein coding gene,unspecified product,0,0,0,0,1,0,0,1,0,2,0,1,2,0,0
AGAP001332,protein coding gene,unspecified product,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
AGAP001333,protein coding gene,protein scarlet,342,109,99,162,160,188,53,237,25,296,216,239,142,109,201
AGAP001334,protein coding gene,unspecified product,413,381,339,470,450,355,396,541,247,498,468,401,260,217,291
AGAP001335,protein coding gene,dynein light chain LC8-type,1520,1421,1061,1493,1230,1157,1228,2146,1210,1451,1526,1376,751,530,652
AGAP001336,protein coding gene,unspecified product,361,259,177,121,132,182,147,380,45,399,551,371,158,149,193
AGAP001337,protein coding gene,unspecified product,173,132,105,83,87,88,50,135,42,157,111,96,50,53,81
AGAP001338,protein coding gene,DEAH (Asp-Glu-Ala-His) box polypeptide 34,320,312,278,250,296,257,145,257,65,247,293,265,184,168,191
AGAP001339,protein coding gene,"phosphatidylinositol glycan, class V",411,378,367,288,329,355,225,364,133,366,371,284,232,179,239
AGAP001340,protein coding gene,unspecified product,202,208,192,170,188,134,115,200,60,216,264,175,102,113,122
AGAP001341,protein coding gene,bleomycin hydrolase,2959,2348,2265,1913,1902,2129,1495,2421,685,2909,2959,1941,1564,1218,1954
AGAP001342,protein coding gene,unspecified product,49,47,41,44,32,33,25,63,10,48,52,39,20,22,30
AGAP001343,protein coding gene,fatty acyl-CoA reductase 2,613,817,989,612,704,290,748,1004,310,1109,2016,1106,232,264,369
AGAP001344,protein coding gene,unspecified product,66,74,87,80,49,42,35,83,19,69,56,49,46,32,29
AGAP001345,protein coding gene,hexamerin,7,15,21,78,763,30,0,136,8,3,100,3,8,210,275
AGAP001346,protein coding gene,unspecified product,396,366,378,302,398,347,86,306,50,188,238,413,213,94,137
AGAP001347,protein coding gene,unspecified product,156,139,100,140,102,120,105,185,71,175,152,124,82,56,76
AGAP001348,protein coding gene,unspecified product,3,5,1,5,2,4,2,2,0,1,2,4,2,0,2
AGAP001349,protein coding gene,chronic lymphocytic leukemia deletion region gene 6 protein-like protein,232,297,233,158,141,167,104,247,88,167,182,193,132,90,130
AGAP001352,protein coding gene,unspecified product,925,646,563,441,459,510,91,255,31,504,219,408,614,269,1098
AGAP001353,protein coding gene,unspecified product,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AGAP001354,protein coding gene,unspecified product,3,1,6,4,3,2,1,1,0,3,1,1,0,2,0
AGAP001355,protein coding gene,unspecified product,6,3,5,3,1,1,0,8,1,3,3,0,0,0,1
AGAP001356,protein coding gene,Acetylcholinesterase [Source:UniProtKB/Swiss-Prot;Acc:Q869C3],2388,2680,4689,6375,4522,5502,4999,5598,3471,4324,3833,6621,5131,2881,3491
AGAP001357,protein coding gene,beta-catenin-like protein 1,383,370,371,480,377,444,377,494,193,509,380,554,347,210,306
AGAP001358,protein coding gene,RING-type domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GBU2],4182,3579,4433,6213,5164,5747,4600,4754,4748,3717,4229,4076,4451,2621,3350
AGAP001360,protein coding gene,unspecified product,427,298,207,340,224,291,280,415,158,770,394,465,257,198,282
AGAP001361,protein coding gene,WD repeat-containing protein,463,336,343,351,281,387,331,473,241,468,387,356,260,188,231
AGAP001362,protein coding gene,polyadenylation factor subunit 2,747,640,664,567,514,675,379,727,158,856,757,687,481,303,493
AGAP001363,protein coding gene,cohesin loading complex subunit SCC4 homolog,656,514,615,550,527,578,328,605,120,713,612,663,395,287,399
AGAP001364,protein coding gene,Ubiquitin-fold modifier 1 [Source:UniProtKB/Swiss-Prot;Acc:Q7PXE2],204,155,191,241,166,184,97,179,31,207,221,232,98,105,180
AGAP001365,protein coding gene,Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GBU7],1143,1057,1317,1192,1031,1310,965,1745,445,1816,1539,1360,1060,727,944
AGAP001366,protein coding gene,Peptidase S1 domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4GCD6],1656,1466,1541,1215,1105,1248,732,1930,334,2034,1952,1466,770,657,900
AGAP001367,protein coding gene,"beta-1,3-glucuronyltransferase",951,963,1097,940,739,1238,590,785,377,986,926,932,542,432,548
AGAP001368,protein coding gene,unspecified product,2677,2101,1965,2174,1959,1780,1649,2887,1051,2321,2270,2268,1601,1009,1490
AGAP001369,protein coding gene,unspecified product,3153,2731,2700,2012,1605,2420,1560,2528,1192,1905,2195,1880,1238,1043,1225
AGAP001370,protein coding gene,Ras association domain-containing protein 7/8,424,327,288,374,301,316,273,533,161,377,427,305,329,200,292
AGAP001371,protein coding gene,D-tyrosyl-tRNA(Tyr) deacylase,82,74,63,50,50,58,60,82,18,102,71,63,57,29,49
AGAP001372,protein coding gene,Microtubule-associated protein Jupiter [Source:UniProtKB/TrEMBL;Acc:F5HMS8],1439,1217,1200,1206,921,1253,1559,1629,835,1691,2385,1275,809,595,750
AGAP001373,protein coding gene,Inhibitor of growth protein [Source:UniProtKB/TrEMBL;Acc:Q7PXF0],434,408,321,345,296,290,280,471,248,379,436,296,244,142,207
AGAP001374,protein coding gene,TRIO salivary gland protein,2429,1277,1270,935,422,2447,231,698,210,517,656,757,597,494,1159
AGAP001375,protein coding gene,serine protease inhibitor (serpin) 12,209,170,157,171,163,97,147,261,115,270,234,226,104,107,70
AGAP001376,protein coding gene,serine protease inhibitor (serpin) 17,1151,1192,1428,984,1343,952,719,1110,502,1958,3714,1995,223,264,332
AGAP001377,protein coding gene,serine protease inhibitor (serpin) 11,2941,2930,2808,2630,2690,2557,2064,3621,929,3512,5807,3021,1265,1431,1783
AGAP001379,protein coding gene,putative gastrin/cholecystokinin receptor 2,5,5,10,5,9,6,1,6,0,6,6,4,2,7,7
AGAP001380,protein coding gene,translation initiation factor 6,1024,982,694,974,972,941,624,1080,307,1078,921,861,641,647,812
AGAP001381,protein coding gene,"laminin, beta 1",4768,3726,3921,3045,2784,4491,1602,3120,890,3209,3837,2901,2084,1570,2299
AGAP001382,protein coding gene,diuretic hormone 31,626,679,552,787,706,562,497,821,274,615,675,526,418,312,390
AGAP001384,protein coding gene,protein kinase A,2169,1844,1804,1332,1308,1671,850,1713,707,1316,1488,1377,1266,845,1174
AGAP001386,protein coding gene,remodeling and spacing factor 1,1383,969,912,962,745,939,765,1523,590,1079,1064,992,942,590,851
AGAP001387,protein coding gene,unspecified product,2408,2119,1908,2193,1738,1845,1994,3003,733,2366,2706,2031,1436,1112,1418
AGAP001388,protein coding gene,unspecified product,3,3,1,6,4,6,1,3,2,2,2,3,1,2,4
AGAP001389,protein coding gene,homeobox protein HEX,1,11,0,1,1,1,2,2,0,3,8,0,0,0,0
AGAP001390,protein coding gene,unspecified product,53,58,51,50,56,63,18,41,11,55,50,26,26,21,34
AGAP001391,protein coding gene,tetracycline transporter,653,503,477,407,467,443,308,563,115,659,552,447,307,290,395
AGAP001392,protein coding gene,unspecified product,661,529,548,410,348,447,273,385,102,566,556,380,181,163,243
AGAP001393,protein coding gene,SAGA-associated factor 11 homolog [Source:UniProtKB/Swiss-Prot;Acc:Q7PXG4],140,92,73,78,76,89,76,112,29,122,163,77,45,49,54
AGAP001394,protein coding gene,"synaptosomal-associated protein, 23kDa",2186,2101,1839,2340,1785,2179,2135,2556,2548,1869,1963,1633,1299,944,1188
AGAP001395,protein coding gene,unspecified product,28,25,15,31,28,18,2,21,0,20,26,17,10,11,16
AGAP001396,protein coding gene,inositol monophosphatase 3,331,307,236,299,247,267,209,337,101,252,260,206,135,128,153
AGAP001397,protein coding gene,zinc metalloproteinase YIL108W,89,61,50,43,60,73,32,58,17,82,105,100,26,30,51
AGAP001398,protein coding gene,unspecified product,60,67,49,60,47,58,48,56,21,65,80,70,24,31,34
AGAP001399,protein coding gene,Coatomer subunit beta [Source:UniProtKB/TrEMBL;Acc:Q7PXG9],1972,1595,1364,1167,1162,1321,853,1701,501,1978,2058,1467,870,710,966
AGAP001400,protein coding gene,unspecified product,142,147,99,153,159,116,142,168,108,181,204,151,69,83,92
AGAP001401,protein coding gene,optic atrophy 3 family protein,368,405,317,392,360,346,317,422,225,487,525,363,204,188,272
AGAP001402,protein coding gene,CAS1 domain-containing protein 1,638,508,424,439,366,453,258,502,93,518,566,502,264,221,350
AGAP001403,protein coding gene,protein Mpv17,241,305,244,276,301,208,148,339,90,213,269,263,190,147,185
AGAP001404,protein coding gene,DNA polymerase eta,309,299,206,217,229,233,204,345,120,278,307,254,160,126,156
AGAP001405,protein coding gene,Retinol dehydrogenase 13 (all-trans and 9-cis),145,122,108,55,78,106,49,129,16,182,156,121,72,53,80
AGAP001406,protein coding gene,tRNA (guanine-N(7)-)-methyltransferase subunit wuho,215,161,127,198,165,145,140,237,75,201,240,166,110,82,111
AGAP001407,protein coding gene,26S proteasome regulatory subunit T4,939,1018,703,700,691,746,600,1366,411,1021,1068,870,465,333,603
AGAP001408,protein coding gene,60S ribosomal protein L35,15499,14670,12922,11673,13846,11027,4806,14184,2058,15440,15427,14359,6772,7149,9999
AGAP001409,protein coding gene,odorant-binding protein antennal 3,440,361,413,339,327,394,189,508,219,210,279,274,130,124,186
AGAP001410,protein coding gene,unspecified product,886,797,767,544,432,683,337,626,286,487,542,432,377,282,313
AGAP001411,protein coding gene,BCL2/adenovirus E1B 19 kDa protein-interacting protein 3,2265,2404,2338,1842,1710,1589,2007,3112,1595,3592,4257,2396,987,930,1184
AGAP001412,protein coding gene,Hedgehog protein [Source:UniProtKB/TrEMBL;Acc:Q7PXI1],163,159,138,69,48,83,198,214,66,146,336,139,51,42,57
AGAP001413,protein coding gene,unspecified product,70,73,88,87,86,72,57,62,37,61,119,62,34,36,45
AGAP001414,protein coding gene,WD40 repeat-containing protein SMU1,299,299,261,212,245,204,103,249,41,280,257,242,181,155,219
AGAP001415,protein coding gene,unspecified product,510,375,489,298,306,319,92,403,54,276,301,310,227,148,212
AGAP001416,protein coding gene,EF-hand calcium-binding domain-containing protein 1,9,5,10,3,4,8,0,9,6,3,1,3,3,1,0
AGAP001417,protein coding gene,Brain protein 44-like protein,2646,2509,2525,3887,3311,2707,2720,3237,2731,2283,2635,2037,1932,1149,1920
AGAP001418,protein coding gene,unspecified product,1045,1017,834,780,708,839,504,911,269,810,955,722,514,374,551
AGAP001419,protein coding gene,unspecified product,5259,4479,4371,4012,3572,4053,5241,5595,3170,3710,6293,3570,2739,1909,2333
AGAP001420,protein coding gene,"2,3-bisphosphoglycerate-dependent phosphoglycerate mutase",7784,6043,6754,6554,7336,6117,2007,6084,895,6534,5536,4634,4269,3829,5587
AGAP001421,protein coding gene,replication factor A1,645,603,498,530,516,495,305,568,167,593,671,490,400,327,486
AGAP001422,protein coding gene,unspecified product,159,96,89,65,96,115,61,157,26,267,180,122,62,37,84
AGAP001423,protein coding gene,Bifunctional purine biosynthesis protein,1065,869,709,458,495,993,390,795,101,2410,1487,792,827,578,1231
AGAP001424,protein coding gene,heat shock protein 90kDa beta,4871,3905,2786,1879,1910,2349,2203,4740,1337,7558,7333,3268,3116,2267,3313
AGAP001425,protein coding gene,Sulfotransferase (Sult),40,29,14,24,21,27,16,30,5,61,49,26,26,15,15
AGAP001426,protein coding gene,unspecified product,296,257,267,246,258,192,166,282,55,272,283,227,208,166,190
AGAP001427,protein coding gene,unspecified product,4977,3427,3568,3383,3198,4176,3289,4450,2583,3048,5196,3066,3135,1993,2674
AGAP001428,protein coding gene,unspecified product,119,96,89,110,87,76,78,113,29,85,98,86,62,34,62
AGAP001429,protein coding gene,unspecified product,31,26,32,33,35,20,26,41,25,42,51,29,19,13,12
AGAP001430,protein coding gene,unspecified product,632,502,434,379,416,377,382,606,185,827,1387,686,317,246,345
AGAP001432,protein coding gene,unspecified product,117,112,93,89,72,85,45,94,22,103,200,90,68,55,80
AGAP001433,protein coding gene,CLIP-domain serine protease,42,25,35,20,15,27,12,31,13,42,35,28,10,8,6
AGAP001434,protein coding gene,"glutamate receptor, anionic",558,470,434,397,369,434,199,455,130,360,337,308,299,193,308
AGAP001435,protein coding gene,pyrazinamidase/nicotinamidase,652,606,652,521,485,537,284,745,191,625,565,673,252,253,349
AGAP001438,protein coding gene,unspecified product,1399,1144,893,1103,1070,1146,569,1158,394,995,863,850,674,539,658
AGAP001439,protein coding gene,Heparan-sulfate 6-O-sulfotransferase (Fragment) [Source:UniProtKB/TrEMBL;Acc:Q380G7],7,6,5,4,10,7,4,4,0,7,11,7,2,4,8
AGAP001440,protein coding gene,26S proteasome 26S non-ATPase subunit N6,1705,1595,1277,1512,1395,1363,1582,2348,1126,1948,2317,1654,896,818,1118
AGAP001441,protein coding gene,unspecified product,120,105,102,84,58,106,27,103,6,93,96,81,54,32,54
AGAP001442,protein coding gene,Brain protein 16,222,224,174,199,172,208,75,188,68,178,145,115,112,123,139
AGAP001443,protein coding gene,cytochrome P450,5,5,11,11,27,16,5,11,1,7,4,3,18,10,13
AGAP001444,protein coding gene,Heparan-sulfate 6-O-sulfotransferase [Source:UniProtKB/TrEMBL;Acc:Q7PXK2],2251,2196,1978,1015,828,1408,837,1618,456,1684,1399,1227,674,511,703
AGAP001445,protein coding gene,unspecified product,19,8,11,11,6,7,9,9,0,13,13,8,8,4,9
AGAP001446,protein coding gene,"AMP-activated protein kinase, gamma regulatory subunit",4449,3615,3424,2975,2933,3437,1864,3540,857,3575,4532,2927,3150,2332,2930
AGAP001447,protein coding gene,"solute carrier family 35 (UDP-galactose transporter), member B1",793,620,471,482,416,438,214,595,110,824,796,519,318,273,514
AGAP001448,protein coding gene,pancreas-specific transcription factor 1a,42,41,23,31,29,23,19,29,6,27,26,25,16,11,21
AGAP001449,protein coding gene,unspecified product,63,44,46,38,72,98,24,46,12,40,38,34,42,38,40
AGAP001450,protein coding gene,ELMO domain-containing protein 2,168,136,128,156,129,123,141,201,111,92,108,145,89,80,83
